PRODUCTION DATE,Field Name,WELL_BORE_CODE,N_WELL_BORE_CODE,WellBore Name,FLOW_KIND,WELL_TYPE,Downhole Pressure (PSI),Downhole Temperature (Kelvin),Average Tubing Pressure,Annulus Pressure (PSI),AVG WHP (PSI),Choke Size,Oil Production (stb/day),Gas Volume (scf/day),Water Production (stb/day)
07/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,0,273.15,0,0,0,0,0,0,0
08/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,0,273.15,0,0,0,0,0,0,0
09/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,0,273.15,0,0,0,0,0,0,0
10/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,0,273.15,0,0,0,0,0,0,0
11/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4500.45403,370.02589,4020.53477,0,479.91926,33.07195,0,0,0
12/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4400.76131,370.07339,4080.98788,0,319.77343,22.05334,0,0,0
13/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4401.254745,370.10885,4002.464,0,398.790745,16.16326,0,0,0
14/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4404.84306,370.11873,4100.40802,0,304.43504,20.73712,0,0,0
15/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4405.944045,370.17136,4204.139715,0,201.80433,12.18153,0,0,0
16/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4404.982115,370.21569,4345.242985,0,59.73913,1.4902,0,0,0
17/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4412.86011,370.06946,4102.0645,0,310.79561,18.79484,0,0,0
18/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4420.304555,369.87034,3968.660585,0,451.64397,28.50258,0,0,0
19/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4427.886605,369.76563,3764.488985,0,663.39762,43.1571,0,0,0
20/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4551.12341,369.70953,4100.80822,0,450.31519,28.48402,0,0,0
21/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4369.946799,375.8263791,2969.53016,0,1400.416638,69.77556957,0,0,0
22/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,4196.609744,379.503209,2639.860022,0,1556.749722,78.93540896,3971.9463,3192499.877,0
23/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3918.476997,380.793779,2480.26534,0,1438.211657,70.62710938,7337.0334,5849929.767,0
24/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3811.219839,381.0192342,2439.508671,0,1371.711168,66.04915063,9748.3049,7826268.043,0
25/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3705.141431,381.1211371,2400.314095,0,1304.827335,61.40538625,7854.323,6285642.256,0
26/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3584.386255,381.2020302,2355.122504,0,1229.263751,56.14790646,8464.9562,6798857.307,0
27/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3490.678045,381.203804,2318.535787,0,1172.142258,52.20174708,8488.7324,6865718.331,0
28/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3407.803506,381.1916365,2286.40669,0,1121.396816,48.70758354,8463.8869,6809359.763,0
29/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3374.783801,381.1378069,2273.52595,0,1101.257851,47.37571458,8047.8034,6526980.943,0
30/04/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3382.81778,381.043239,2279.101083,0,1103.716697,47.61060354,7709.1498,6251907.458,0
01/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3350.789014,381.0269223,2267.785177,0,1083.003837,46.19584333,7629.141,6163693.464,0
02/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3355.575576,380.9668792,2272.00845,0,1083.567126,46.15029979,6755.7116,5466934.651,0
03/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3346.100406,380.9454671,2270.786517,0,1075.313889,45.73272292,6567.8293,5221926.529,0
04/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3343.639562,380.9143154,2271.970263,0,1071.669299,45.491345,6102.558,4920059.285,0
05/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3326.643315,380.9297317,2268.224312,0,1058.419002,44.54851,5951.0948,4835411.297,0
06/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3275.585924,381.0102202,2246.787473,0,1028.798451,42.44995396,6307.8007,5116740.295,0
07/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3273.641057,380.9881654,2248.34877,0,1025.292287,42.04893854,5820.1999,4765508.472,0
08/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3272.460379,380.9710481,2249.557583,0,1022.902796,41.15918896,5748.1794,4503027.203,0
09/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3303.068658,380.7494552,2274.357147,0,1028.711511,41.74523021,1112.072,858591.31,0
10/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3277.883264,380.83369,2249.892086,0,1027.991178,41.90457979,5938.9551,1841339.074,0
11/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3263.901939,380.9864519,2249.843472,0,1014.058467,41.48348958,5179.2489,4155929.716,0
12/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3277.329044,380.9216665,2259.049335,0,1018.27971,41.80654479,4837.0729,3926701.753,0
13/05/2014 00:00,DSEAT,DSEAT-001-F-1 C,105,001-F-1 C,production,OP,3290.122429,380.8674732,2270.363124,0,1019.759305,41.925575,4659.632,3782197.32,0
