Date of Production,Wellbore name,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,Calculated_GOR
2013-08-19,15/9-F-11 H,24.0,266.027,105.982,175.275,23.008,9.86604,90.752,60.084,62.49,1047.0,158557.0,59.0,production,OP,151.4393505253104
2013-08-20,15/9-F-11 H,24.0,266.56,105.978,175.553,23.037,9.81311,91.007,59.501,62.765,1024.0,156092.0,59.0,production,OP,152.43359375
2013-08-21,15/9-F-11 H,24.0,266.43,105.995,175.574,23.65,10.10168,90.856,59.891,62.611,1050.0,160103.0,60.0,production,OP,152.4790476190476
2013-08-22,15/9-F-11 H,24.0,266.419,106.012,175.626,23.811,10.02474,90.793,60.815,62.55,1045.0,158665.0,62.0,production,OP,151.83253588516746
2013-08-23,15/9-F-11 H,24.0,266.416,106.025,175.638,24.032,10.08765,90.778,60.124,62.539,1039.0,159071.0,59.0,production,OP,153.10009624639076
2013-08-24,15/9-F-11 H,24.0,266.459,106.036,175.707,24.162,10.05772,90.752,59.096,62.505,1030.0,158004.0,61.0,production,OP,153.4019417475728
2013-08-25,15/9-F-11 H,24.0,266.634,106.041,175.835,24.594,10.08136,90.798,60.04,62.551,1030.0,157311.0,61.0,production,OP,152.72912621359222
2013-08-26,15/9-F-11 H,24.0,266.757,106.048,175.931,24.883,10.1238,90.826,60.19,62.573,1030.0,157362.0,61.0,production,OP,152.77864077669904
2013-08-27,15/9-F-11 H,19.64,267.302,106.057,176.099,24.948,8.39912,91.203,58.267,62.864,698.0,108779.0,38.0,production,OP,155.84383954154728
2013-09-03,15/9-F-11 H,24.0,276.029,105.605,182.391,3.444,9.48204,93.637,49.965,65.026,941.0,146564.0,54.0,production,OP,155.75345377258236
2013-09-04,15/9-F-11 H,24.0,270.215,105.75,177.682,12.584,9.64292,92.534,55.417,63.974,969.0,151073.0,58.0,production,OP,155.90608875128999
2013-09-05,15/9-F-11 H,24.0,267.255,105.856,176.558,17.726,9.84629,90.697,58.398,62.282,1016.0,157401.0,64.0,production,OP,154.92224409448818
2013-09-06,15/9-F-11 H,24.0,262.95,106.004,174.736,23.291,10.23642,88.213,61.941,59.734,1157.0,176759.0,82.0,production,OP,152.77355229040623
2013-09-07,15/9-F-11 H,24.0,262.643,106.034,174.64,24.753,10.22814,88.004,61.839,59.572,1151.0,175762.0,82.0,production,OP,152.70373588184188
